id,value,emotion
Bank of America,429.2875,gioia
Citibank,217.4079,gioia
Chase Manhattan Bank,191.5167,gioia
Bank of Nova Scotia,152.417,gioia
Bank of New York,139.1222,gioia
Wells Fargo Bank,128.7775,gioia
Bank of Boston,126.6168,gioia
JP Morgan Chase Bank NA,125.9711,gioia
Barclays Bank Plc,123.0705,gioia
ABN AMRO Bank NV [RBS],111.5259,gioia
First Chicago,109.4597,gioia
NationsBank,104.394,gioia
Chemical Bank,103.523,gioia
Deutsche Bank AG,101.0452,gioia
BNP Paribas SA,96.5905,gioia
PNC Bank,95.3043,gioia
Morgan Guaranty Trust,93.9733,gioia
Mellon Bank,90.5456,gioia
Bankers Trust Co,90.4891,gioia
BANK ONE Corp,88.5802,gioia
Wachovia Bank,85.2436,gioia
Bank of Montreal,83.8013,gioia
Le Credit Lyonnais SA [LCL],83.1199,gioia
SunTrust Bank,81.7325,gioia
Societe Generale SA,80.3955,gioia
JP Morgan,79.1314,gioia
NationsBank of Texas,76.4938,gioia
Royal Bank of Canada,72.8653,gioia
Continental Bank,72.666,gioia
Texas Commerce Bank,72.224,gioia
NBD Bank NA,71.7939,gioia
US Bank NA,70.3761,gioia
Citibank NA,69.4121,gioia
Royal Bank of Scotland Plc [RBS],68.8241,gioia
Security Pacific National Bank,62.0416,gioia
Credit Suisse First Boston,60.8613,gioia
Fleet National Bank,59.8027,gioia
CIBC [Canadian Imperial Bank of Commerce],59.5356,gioia
Comerica Bank,58.2255,gioia
Credit Suisse AG,57.8033,gioia
Toronto Dominion Bank,55.7647,gioia
Heller Financial Inc,54.591,gioia
Manufacturers Hanover Trust,53.9137,gioia
Harris Trust & Savings Bank,52.3712,gioia
NationsBank of North Carolina,51.5701,gioia
Commerzbank AG,50.3513,gioia
Silicon Valley Bank,48.5956,gioia
General Electric Capital Corp,48.0165,gioia
Prudential Insurance Co of America,44.6077,gioia
Bank of America NA,44.244,gioia
National City Bank,43.6111,gioia
Northern Trust,41.6229,gioia
Citicorp North America Inc,41.0388,gioia
First Union National Bank of North Carolina,40.3217,gioia
Union Bank NA,40.0463,gioia
Dresdner Bank AG,39.5958,gioia
BNP Paribas [Ex-Banque Paribas],39.29,gioia
Bank One Texas,38.8704,gioia
Bank of Tokyo-Mitsubishi Ltd,38.7712,gioia
Wachovia Bank NA,38.6585,gioia
KeyBank,38.5847,gioia
INB National Bank,38.3018,gioia
Fuji Bank Ltd,38.0538,gioia
Sanwa Bank California,37.8859,gioia
Norwest Business Credit,37.3662,gioia
Industrial Bank of Japan Ltd,37.0391,gioia
Sumitomo Bank,36.7977,gioia
First Interstate Bank of California,36.7108,gioia
Union Bank of California,35.9396,gioia
Wachovia Bank of Georgia,34.4173,gioia
Sanwa Bank Ltd,34.3406,gioia
PNC Bank - Philadelphia,33.1187,gioia
HSBC Bank USA NA,32.5682,gioia
Bank of America Merrill Lynch,32.5577,gioia
Fifth Third Bank,32.0415,gioia
Citicorp USA Inc,31.7167,gioia
UBS AG,31.6005,gioia
National Westminster Bank USA,31.1054,gioia
Swiss Bank Corp,31.0765,gioia
BNP Paribas [Ex-Banque Nationale de Paris],30.4623,gioia
Wells Fargo Bank NA,30.0935,gioia
Long-Term Credit Bank of Japan Ltd,30.0594,gioia
CoreStates Bank,29.5232,gioia
Sumitomo Mitsui Banking Corp,29.3571,gioia
UBS Loan Finance LLC,29.2098,gioia
Fleet Bank,28.4867,gioia
Goldman Sachs & Co,28.2919,gioia
Union Bank of Switzerland,27.6756,gioia
Sanwa Business Credit Corp,27.4095,gioia
National Westminster Bank Plc,27.2635,gioia
Goldman Sachs Credit Partners LP,27.0707,gioia
Citigroup,26.3823,gioia
First Union National Bank,26.3282,gioia
US Bank of Washington,25.9756,gioia
Household Commercial Financial Services,25.9073,gioia
Mizuho Corporate Bank Ltd,25.899,gioia
Marine Midland Bank,25.8075,gioia
LaSalle National Bank,25.7785,gioia
NationsBank of Tennessee,25.6183,gioia
First American National Bank Nashville,25.3114,gioia
Congress Financial Corp,25.168,gioia
Lehman Commercial Paper Inc,25.0508,gioia
Merrill Lynch & Co Inc,24.9064,gioia
Comerica Bank - Texas,24.5513,gioia
Morgan Stanley Senior Funding Inc,24.3918,gioia
Standard Chartered Bank Plc [SCB],24.295,gioia
First Bank NA,24.0648,gioia
Foothill Capital Corp,23.3631,gioia
First Union Bank,23.3094,gioia
HSBC,22.9994,gioia
Boatmen's National Bank of St Louis,22.8579,gioia
Merrill Lynch Bank USA,22.7302,gioia
Morgan Stanley,21.0463,gioia
First Interstate Bank of Texas,20.8957,gioia
Dai-Ichi Kangyo Bank Ltd,20.5811,gioia
Wells Fargo & Co,20.5415,gioia
Rabobank,20.3473,gioia
Morgan Stanley Bank,20.1279,gioia
Bank of America Illinois,19.5483,gioia
Deutsche Bank AG New York Branch,19.5171,gioia
Toronto Dominion Bank [Texas],19.5145,gioia
Westdeutsche Landesbank GZ,19.4057,gioia
Bank of California,19.1548,gioia
PNC Bank - Pittsburgh,18.9726,gioia
Key Bank NA,18.8381,gioia
Lehman Brothers Inc,18.3957,gioia
State Street Bank & Trust,18.3907,gioia
Frost National Bank,18.2609,gioia
LaSalle Bank NA,18.1844,gioia
Shawmut Bank,17.9533,gioia
Bank of Tokyo-Mitsubishi UFJ Ltd [BTMU],17.7533,gioia
